timestamp,symbol,price,day_high,day_low,open,volume,log_returns
2025-11-18 17:07:00,AAPL,267.8412,270.705,265.32,269.99,18024339,0.0
2025-11-18 17:08:00,AAPL,267.94,270.71,265.32,269.915,18033473,0.00036880727102734273
2025-11-18 17:09:00,AAPL,267.90121,270.71,265.32,269.915,18053625,0.00022402557322642071
2025-11-18 17:10:00,AAPL,267.79,270.71,265.32,269.99,18156583,-0.00019117631742109853
2025-11-18 17:11:00,AAPL,268.08,270.71,265.32,269.99,18205638,0.000891175851242381
2025-11-18 17:12:00,AAPL,268.10999,270.71,265.32,269.99,18243657,0.0010030391854732406
2025-11-18 17:13:00,AAPL,267.95999,270.71,265.32,269.915,18294291,0.0004434107432509344
2025-11-18 17:14:00,AAPL,267.892,270.71,265.32,269.99,18331420,0.00018964663811098717
2025-11-18 17:15:00,AAPL,267.52,270.71,265.32,269.915,18389462,-0.0011999376814757579
2025-11-18 17:16:00,AAPL,267.54,270.71,265.32,269.915,18437440,-0.0011251797103720897
2025-11-18 17:17:00,AAPL,267.62,270.71,265.32,269.99,18478838,-0.0008262037009696614
2025-11-18 17:18:00,AAPL,267.53,270.71,265.32,269.99,18553270,-0.0011625579973296991
2025-11-18 17:19:00,AAPL,267.55,270.71,265.32,269.915,18604923,-0.001087802820498818
2025-11-18 17:20:00,AAPL,267.45,270.71,265.32,269.915,18648281,-0.0014616346005533816
2025-11-18 17:21:00,AAPL,267.79001,270.71,265.32,269.99,18707477,-0.00019113897472801438
2025-11-18 17:22:00,AAPL,267.84,270.71,265.32,269.99,18760192,-4.480276702087599e-06
2025-11-18 17:23:00,AAPL,267.52,270.71,265.32,269.99,18813309,-0.0011999376814757579
2025-11-18 17:24:00,AAPL,267.41,270.71,265.32,269.99,18864234,-0.0016112064514097674
2025-11-18 17:25:00,AAPL,267.28,270.71,265.32,269.915,18889543,-0.002097469529311473
2025-11-18 17:26:00,AAPL,267.5664,270.71,265.32,269.99,18943380,-0.0010265077452399768
2025-11-18 17:27:00,AAPL,267.42001,270.71,265.32,269.99,18987872,-0.001573773996932814
2025-11-18 17:28:00,AAPL,267.31,270.71,265.32,269.99,19077983,-0.0019852339841964425
2025-11-18 17:29:00,AAPL,267.215,270.71,265.32,269.99,19128234,-0.0023406897664341184
2025-11-18 17:30:00,AAPL,267.16,270.71,265.32,269.99,19174930,-0.002546537720377126
2025-11-18 17:31:00,AAPL,266.965,270.71,265.32,269.915,19251695,-0.0032767039124243606
2025-11-18 17:32:00,AAPL,266.8388,270.71,265.32,269.99,19329934,-0.0037495368235097404
2025-11-18 17:33:00,AAPL,266.6488,270.71,265.32,269.99,19362044,-0.004461830822595099
2025-11-18 17:34:00,AAPL,266.6,270.71,265.32,269.915,19399354,-0.004644859833204034
2025-11-18 17:35:00,AAPL,266.85,270.71,265.32,269.99,19432839,-0.003707564797858553
2025-11-18 17:36:00,AAPL,266.98,270.71,265.32,269.99,19505330,-0.003220518350226041
2025-11-18 17:37:00,AAPL,267.28,270.71,265.32,269.99,19548300,-0.002097469529311473
2025-11-18 17:38:00,AAPL,267.42001,270.71,265.32,269.99,19680971,-0.001573773996932814
2025-11-18 17:39:00,AAPL,267.72,270.71,265.32,269.99,19753184,-0.00045260934537091327
2025-11-18 17:40:00,AAPL,267.86,270.71,265.32,269.99,19808951,7.018838116377692e-05
2025-11-18 17:41:00,AAPL,268.013,270.71,265.32,269.99,19858703,0.0006412192192817367
2025-11-18 17:42:00,AAPL,268.07,270.71,265.32,269.99,19940856,0.0008538728576730063
2025-11-18 17:43:00,AAPL,268.23999,270.71,265.32,269.99,20001826,0.0014877973001120484
2025-11-18 17:44:00,AAPL,268.28,270.71,265.32,269.99,20087716,0.001636943653723979
2025-11-18 17:45:00,AAPL,268.44,270.71,265.32,269.99,20126060,0.002233157712225982
2025-11-18 17:46:00,AAPL,268.205,270.71,265.32,269.99,20170588,0.0013573458998684981
2025-11-18 17:47:00,AAPL,268.05,270.71,265.32,269.915,20213098,0.0007792626957342695
2025-11-18 17:48:00,AAPL,268.27,270.71,265.32,269.99,20238260,0.0015996684696734048
2025-11-18 17:49:00,AAPL,268.41,270.71,265.32,269.915,20276110,0.002121394649801849
2025-11-18 17:50:00,AAPL,268.34,270.71,265.32,269.99,20308436,0.0018605655845131198
2025-11-18 17:51:00,AAPL,268.25,270.71,265.32,269.99,20348263,0.0015251139329954637
2025-11-18 17:52:00,AAPL,268.19,270.71,265.32,269.915,20389643,0.0013014169668848002
2025-11-18 17:53:00,AAPL,268.31,270.71,265.32,269.99,20417064,0.0017487608699646386
2025-11-18 17:54:00,AAPL,268.5806,270.71,265.32,269.915,20804338,0.002756787543977756
2025-11-18 17:55:00,AAPL,268.6,270.71,265.32,269.99,20840496,0.0028290165113247843
2025-11-18 17:56:00,AAPL,268.54,270.71,265.32,269.99,20911679,0.0026056110667496257
2025-11-18 17:57:00,AAPL,268.67001,270.71,265.32,269.915,21159007,0.00308963035201268
2025-11-18 17:58:00,AAPL,268.64,270.71,265.32,269.99,21203827,0.0029779257514182017
2025-11-18 17:59:00,AAPL,268.685,270.71,265.32,269.99,21325939,0.0031454221459846993
2025-11-18 18:00:00,AAPL,268.57999,270.71,265.32,269.99,21373021,0.0027545163423617802
2025-11-18 18:01:00,AAPL,268.63,270.71,265.32,269.99,21424805,0.0029407005201521168
2025-11-18 18:02:00,AAPL,268.58,270.71,265.32,269.915,21454375,0.0027545535752167343
2025-11-18 18:03:00,AAPL,268.3143,270.71,265.32,269.99,21487593,0.0017647869798521974
2025-11-18 18:04:00,AAPL,268.29,270.71,265.32,269.915,21523226,0.0016742174483869972
2025-11-18 18:05:00,AAPL,268.28,270.71,265.32,269.99,21552312,0.001636943653723979
2025-11-18 18:06:00,AAPL,268.31,270.71,265.32,269.99,21575012,0.0017487608699646386
2025-11-18 18:07:00,AAPL,268.4371,270.71,265.32,269.99,21608653,0.0022223544948788347
2025-11-18 18:08:00,AAPL,268.27,270.71,265.32,269.915,21634927,0.0015996684696734048
2025-11-18 18:09:00,AAPL,268.32999,270.71,265.32,269.99,21675108,0.0018232614676901603
2025-11-18 18:10:00,AAPL,268.33,270.705,265.32,269.99,21716153,0.0018232987352345415
